time,eta_0,eta_1,eta_2,eta_3,eta_4,eta_5,nu_0,nu_1,nu_2,nu_3,nu_4,nu_5,nu_diff_0,nu_diff_1,nu_diff_2,nu_diff_3,nu_diff_4,nu_diff_5,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5
86.57750487327576,8.861407459,3.140134934,-7.944943342,-0.080080315,-0.041352216,-2.021304327,-0.110824846,-0.220842988,-0.128780532,0.011463648,-0.018453228,0.060529813,-0.009476495,-0.017142584,0.02576786,-0.076768693,0.003098133,0.124911385,0.17838438,-4.4684226,-4.828736325,4.258962305,-1.980797912,0.656588814
86.67768883705139,8.845370657,3.160037018,-7.956652585,-0.08023881,-0.042412517,-2.014048969,-0.112138044,-0.221765181,-0.125431609,0.001494281,-0.016666846,0.071335424,-0.012035328,-0.011598121,0.031172817,-0.092816178,0.013434116,0.113112691,0.241396696,-4.916120853,-3.345023229,3.910955205,-1.870121355,0.780513597
86.77880501747131,8.829282607,3.179882244,-7.967900643,-0.081470585,-0.043347301,-2.0061388,-0.113380347,-0.222196087,-0.121851286,-0.009730394,-0.014698593,0.079069235,-0.012306725,-0.006495782,0.034414106,-0.106417575,0.017808003,0.088070487,0.259332901,-5.226847969,-2.072567937,3.627650238,-1.779371784,0.846482391
86.87885594367981,8.813185514,3.199623389,-7.978651254,-0.083959666,-0.043984039,-1.997807066,-0.114517099,-0.221973865,-0.118233234,-0.022042982,-0.012454925,0.082660074,-0.011649277,-0.000393183,0.035650596,-0.118113393,0.021048077,0.051557017,0.29553006,-5.290797496,-1.129507003,3.437763112,-1.725617551,0.861496392
86.9795868396759,8.797137888,3.219184809,-7.988893453,-0.087825895,-0.044240938,-1.989507595,-0.11541554,-0.220886954,-0.114791604,-0.034077248,-0.009920116,0.080877718,-0.009783874,0.007490426,0.034786589,-0.119673878,0.024058086,0.002990615,0.36983693,-5.09119486,-0.581184022,3.359049505,-1.712580744,0.830294473
87.07972383499146,8.781156292,3.238490491,-7.998639593,-0.092594229,-0.044181645,-1.981929385,-0.115861818,-0.218978654,-0.111722372,-0.043748372,-0.007062096,0.073367049,-0.006059103,0.015605229,0.031920598,-0.103600033,0.027223565,-0.051677498,0.543061506,-4.987337972,-0.441417835,3.399991681,-1.738441981,0.712484985
87.18027091026306,8.765223218,3.257503033,-8.0079286,-0.097727111,-0.044186238,-1.975511997,-0.11574158,-0.21653706,-0.109170727,-0.048960379,-0.003928971,0.060951872,-0.000976069,0.021772722,0.027437693,-0.067564056,0.030098948,-0.102409495,0.748898233,-4.890244255,-0.684391296,3.556750745,-1.797303599,0.556391698
87.28163194656372,8.749267085,3.276227541,-8.016828534,-0.102916813,-0.043717695,-1.970815485,-0.115035471,-0.214076169,-0.107267578,-0.048173468,-0.000688289,0.045581877,0.004649942,0.023758059,0.021553356,-0.014760839,0.031714459,-0.13831281,0.946138479,-4.916253349,-1.290652897,3.829241427,-1.890277677,0.38372149
87.38071990013123,8.733134228,3.294685748,-8.025433092,-0.107267156,-0.043048341,-1.96757611,-0.113605703,-0.212309518,-0.106153036,-0.040853015,0.002166535,0.030099043,0.011403362,0.019493969,0.014267802,0.046814918,0.029498103,-0.149873684,1.085481006,-5.132412149,-2.246648965,4.206545733,-2.011749422,0.226622088
87.48250102996826,8.716706879,3.31296461,-8.033872382,-0.11048683,-0.042469515,-1.965590448,-0.111725951,-0.211693509,-0.105874365,-0.02579681,0.004018143,0.016704538,0.016579273,0.01016026,0.006231038,0.119437909,0.02181069,-0.138723637,1.144365395,-5.523361545,-3.520412745,4.658678191,-2.144445198,0.115829706
